Imagename,Depth,lat,lon,alt,num,fn
201503.20150520.210112582.100200.png,52.72,39.482,-73.117873,1.56,9,0
201503.20150520.210548713.101850.png,53.45,39.488532,-73.112165,1.57,0,0
201503.20150520.210802593.102650.png,54.22,39.49162,-73.109373,2.01,15,1
201503.20150520.212455273.108700.png,64.59,39.494773,-73.082842,0.99,0,0
201503.20150520.212717535.109550.png,64.43,39.491828,-73.079365,2.36,4,0
201503.20150520.214705759.116650.png,67.19,39.4703,-73.046567,1.44,0,0
201503.20150520.214714138.116700.png,67.25,39.47018,-73.046318,1.89,0,0
201503.20150520.215240483.118650.png,64.45,39.465017,-73.035978,1.53,1,0
201503.20150520.215454360.119450.png,63.33,39.462963,-73.031842,1.75,0,0
201503.20150520.215938870.121150.png,60.31,39.458468,-73.02293,1.85,1,0
201503.20150520.220201128.122000.png,62.2,39.456257,-73.0185,1.96,0,0
201503.20150520.220654003.123750.png,65.2,39.45203,-73.00935,1.85,0,0
201503.20150520.220800948.124150.png,64.31,39.451085,-73.007283,1.77,0,0
201503.20150520.220924647.124650.png,64.06,39.449852,-73.004592,2.1,2,0
201503.20150520.221146889.125500.png,64.31,39.447885,-73.000132,2.19,0,0
201503.20150520.221902003.128100.png,66.3,39.442123,-72.985542,1.61,1,0
201503.20150520.222124274.128950.png,65.67,39.440237,-72.980787,1.95,0,0
201503.20150520.222256325.129500.png,63.91,39.439002,-72.977628,1.89,0,0
201503.20150520.222354872.129850.png,62.97,39.438243,-72.975682,1.96,0,0
201503.20150520.222822649.131450.png,62.67,39.434703,-72.96659,2.01,0,0
201503.20150520.222904492.131700.png,62.72,39.434155,-72.965157,1.99,0,0
201503.20150520.223053275.132350.png,62.4,39.432855,-72.961547,2.17,2,0
201503.20150520.223323902.133250.png,61.47,39.431027,-72.95655,2.31,0,0
201503.20150520.223546150.134100.png,62.05,39.429312,-72.951855,2.3,2,0
201503.20150520.223808409.134950.png,62.36,39.42755,-72.947023,1.94,0,0
201503.20150520.224145970.136250.png,66.06,39.424943,-72.939768,1.8,0,0
201503.20150520.224301285.136700.png,67.3,39.424123,-72.937288,2.1,5,0
